ID	Length	WT_09.Aligned.sortedByCoord.out
ENSG00000277022.1	3999	0.48
ENSG00000262831.1	4999	0.44
ENSG00000259652.1	25499	2.36
ENSG00000135250.17	14499	1.02
ENSG00000100941.9	10499	0.66
ENSG00000197798.9	4499	3.32
ENSG00000167981.7	3999	0.37
ENSG00000068654.17	7999	0.41
ENSG00000107021.16	8999	1.3
ENSG00000138674.17	11499	0.82
ENSG00000159958.7	5499	1.51
ENSG00000126934.15	4999	0.93
ENSG00000158805.12	7499	1.1
ENSG00000101109.13	20499	1.53
ENSG00000148219.18	16999	0.69
ENSG00000125445.11	8499	1.26
ENSG00000113522.14	9499	1.46
ENSG00000168495.13	5499	2.4
ENSG00000110063.10	4499	0.33
ENSG00000289151.2	9999	0.63
